[3738 5038 4486 3506 8633 4512 9732 1044 7054 5150  958 6285 4793 7127 6075
 5327 6541 3971 3685 7480 8681 8784 3940 4825 2584 1461 6152 8788 2589 5880
 7321 6765 2120  533 1627 6063 9566 8932 1289  805 5505 4060 1344 4783 5898
 1314 7871  514 2442 8303 6565 8924 9263 8363 3429 1784 6584  163 1395 5747
 4631 8940 4580  934 9468  943  912 3407 9329 2755 7444 2259 6544 2948 7713
 5060  139 9387 7930 1787  470 9120 3640 1455 6591 5020 4116 8492  555 3554
 9621 9015  747 5464 3282  247 3447 3536 6842 6011 8585 3136 5706 3769 2861
 9611 4760  966 1399 1568 9009 8023 2672 2392 9298 4618 5866 7566  912 6462
 7392 4821 9081  792 7827 2376 9684 7880 7368   82 6880 3720 5258 9842 7710
 4356 5968 5165 4935 4754 8789 2937 3347 3878 3296 4392   25 6734 2113 1457
 3486  997 1041 2528 3915 1058 2765 2310 8566 9597 2832 6474 1377 1929 5410
  443 7461 4005 7501 3579 3538 3620 7878 8786 2676 9539 4638 4470 2401 1388
 4472 7509 2884 8867 4582  640 2988 8848 9312  419 1563 1256 1232 7328  116
 1959  800 8531 7623 1517 8871 7601  923 7641  536 8021 8314 7259 7061 5422
 6934  590 4733 2400 4462 3399 1366 9868 9996 6918 2988 7279 1094 2403 6169
 4866  367  680 3060  138 1386 3275 2762 7021 3142 6591 1432 6612 8973 4539
 8556 5471 7277 4046 3975 3618 9800 3778 6865 8174 5592 6442 3077  914  634
 8668 4228 3275 9503 5597 4043 1329 4713  676 1160 2945 2238 4028 9551 5701
 9064 4927 4649 5150 3993 4607  252 2376  215 2132 3293 5940  999 4386 5909
   53 6311 2571 8524 3827 5011 7707 2659 9281 7268  728 9635 9062 6949 3460
  314 6690 3668 7215 9108 3650 3324 6813 6706 3252 8140 5785 2121 7892 5432
 3799 3696 7853 3463 2581 3207 3559 5666 9819 8522 1099 1648 1085 8499 4499
 3329 7466 3893 1173 2055 2638 7926 4864 1123 3462 4486 2547 9887 1024 4563
 8801 7252 4463 8095 5811 5094 7088 5104 8258  321 5938  839 6361 8318 6452
 5986 9356 8979 7200 5976 4025 6041  427 9719 9951 4391 4143 1227 6845 5576
 5875 1768 8965 5312 3084 1460   29 8610 4445 3320 1170 6755 4369 9216 3965
 2301 1041 8226 7159 1209 1469  461 3285 9592 4391  434 8902 3596 5257 9340
 2773 5839 8858  504 7979 4647 5676 9447 4763 6554 2961 2284 1700 1905 5350
