[ 7890  4563   623  4540  5271  1848  6371  8769  9485  7191  9043  4269
 10167  1814  4034  9963  8407  8682  3350  7638  9185  4024  3321 10185
   653   643  7366  4055  5547  2677  4743  6936  5012  9338  1447  8909
  5236  6146  5026  1030  8683  3311  6388  8090  5437   397  3575  6815
   297  1708  2175  3417  7553   964  5508  6233  6655  9299  9156  5113
  6128  5096  2642  8437  8378  5725  3771  1971  3813  4146  6526  6741
  8548  1521  5395 10176  1540  4686  5805  3672  5692  5171  8813  1138
  9321 10014  2368  7019  3966   449  2391  4360  5221  9436  2453  4768
  1444   928  1561  9836  4350  7338  8391  1860  7088  8984  4506  2686
  5185  7935  6144  6568  6109  7782  7200  8202  9877  2928   199  8372
  9740  4943  5738  8986  4597  3065  6748  8240  1172  7406  3827  2227
  6690  9648  8053  6369  1935  4694  2075  3852   891  5006  9293 10136
  7554  2905  5627  5010  4574  5716   557  9397  8951  9999  1297  1690
  9168   542  9806   954  5664 10035  5738  6031  7644  2082  3377  1089
  4572  7973  9936  8618  3949  4031  5914  7694  6527  1091  3661   797
  9829  5139  1780  7545  2432  3708  9047  6661  6656  2172   958  3641
  9342  3145   210  7917  4876  9644  9204  3962   512  1961  4548   720
   557  3927  3505  1889   867  9299  5141  3101  9308  7952  5996  7362
  2381  6421  4811  1446  5773  2577  6965  3008  4245 10474 10071  6247
  9452  1949  9643  7841  1758  4387  1833  8119  8415  5571   701  8928
  6063  4381  2937   958  1101  7862  3928  9023  5317  2034  1717  2361
  7390  3260  9121   744  6152  8507   848  9517  1034  4048  1252  7676
  2998  8044  7128  2081   603  2556  1548  9464  1934  6978 10315 10221
  8881  4028  6024  1500  7321  6856  1531  1166  7276   320  6558  2492
  1266  8492   414  8367  9476  4561  9687  6698  2268  4669  9253  1206
   719 10443  8555  3865  9138  6357  7055  9323  4888   883  6344  7572
  7101  6181  7685  1166  2125  7881  2874   336  8679  8094  8097  8867
  8989  4959  2706 10103  5089  1233  7846  1478  7090  7784  8054  6182
 10048  6786  9009  5353   294  6361   160  6431  5079  3269  4629  7590
  2669  5608  4258   899  3082  6044 10054  9195  5867  5670  5506  8571
  2205  8504  9202  5958  1601  5530  7690  1560  8129  4252  6239   864
  2368   546  8404  5158   780  8594  5726  4828  7660  3936  6704  7027
  8560   783  4345 10401  5518   583  8357  5675  2418   851  8842   173
  3069  9509  3956  4411  6216  2040  2190  2440  1430  1397  8064 10411
  4523   268  9947  5154  5504  4022  9426  8324  9309  6483  1625 10364
  1106 10227  6745  5158  7287 10474  8796  3984  3942  3837  6095  7381
  7129  9862  9458  8144  5526  5527  3098  7786  5526  8903  3185  9090
  2856   956  8730  2587  2420  8013   826  8602  5301  9097  7223  4936
  4215  8801  5010  5378  1909   919  4257  8297   825  8810  9654  9434
  1762   993   638  6711  8712  8841  7539  9434  2790  4312  2310  8353
  9601 10413  9456  7627  5806  6955  2866  3073  9166  1629  2331  3116
  1815  5801  8266  8841  5393  4304  8873  2406  9221  5317 10119  5946
   569  4327  5511  8178  8380  9186  3204  1998   628  5400  9866  4066
  1337  2836  5276   231  6292  4688  2156  1913  1926  4493  8481  2985
  6075  3007   369  2796  8586  5764  5816  8301  2099  3791  8895  8945
  7268  1072  2410  3506   369  4090  4580  5546  7461  8746  7099  2922
  6269  8852  8497  7648  5405  5403  4631  2382  9097   743  5408  6285
 10334  2312  5644  2941  8573  6753  4071   797  1868  1768  5055  1064
  9965   785  6090  3693 10345  3022  3452  4352  6155  6871  9865  5817
  9011  2029  4408  9214  5034  4053  6606  6897  9105   806  8366  2352
  8576   655  8449  6141  7548  5889  2628  9477  6333   891  8783   420
   541  7406  9177  3738  9025  9992  2380  3577  5034  5066  7164  5220
  6226  1949  6235   754 10398  4424  8930   319  1425  9553  7155  7316
  1925  5421  4666   507  3909 10290  6771  5667   820  9920  2901  4315
  3575  2537 10358  7691  7148  2233  5030  6213  1228 10418  3417  7606
  6650  3341  3953  9760  9613  2256  8957  1857   796  3680 10013  9639
 10082  2677  6940   150   813  7406  4779  9556  9522 10356  6558  5854
 10395  5322  8449  5321  7659  6162   484  7615  6093  2803  8434  9420
   488  9920  8695  3835 10389  4508  7488  9796  2779  3911  8270  8609
   975  6771  3167  9918  4728  1891  1293  5712  2104   266  3353  8158
  7508  6326  8106  8204  7718  5543  8245  5660  4216  4528  6382  9171
 10299  4416  8997  6831  3098  6871  6038  9141  9671  3877  9060   980
  1837  4074  9532  4642  6636  2333  3056  8588  2073  7135  7887  2970
  3547  3063  6068   233  9408  8005  4828   957  1401  2140  8844  2297
  5687  3898  3285  8423  7942  6169  8445  4055  8877  1516  4330  5255
  1228  1278  3212  4299  3050  2339  3466  8731  4466  2028  6873  2664
  8806   150   853  8939 10304  4545  5162   192  2257  4217  2273  1576
  7344  9899  8039  7160  9735  5969  6773  1518  6433   582  3967 10106
  9301  9795  7843  3726  7926  1038  4014  9352  6030  3435  9266 10108
  5573  4021  5499  1464  7357  5205  5338  6622  6053  7008  5856  2912
  5884  5175  3531  1203  4867  5287  8211  2115  2036  9608  8467  8644
  8973  3336  1896  9774   324  3636  3008   732  5928  4409  2247  5502
   534  6060  9636  9053  3838  9768  2912  2720  7959  2205  5866  4406
  4602  3972  9646  6560  2559  7006  9334  4834  1206  7483   750  6496
  3517  7630  2181  4370  4033  8485  6328  2063  7714 10125  3251  5912
 10118  9686 10038  5575  8008  2884  9382   378  4478  9693  2537  1260
  9379  8910  2855  3570  9849  5763  9555  5207   288  7914  5487  3919
  5086  8357  2410  2886  8070  2236  1556  9860  5987  8868  5672  9297
  3103  6456  3876  2522  3422  3161  9264  9599  1570  3579  9751  7366
  4971  4183 10145  7378  4665  6945  1232  2864   687  3446  3407 10184
  6048  8167   368  3245  7710  5101  2145  7279  7135  6478  7887   428
  2569  1079  1105  5521  1081  4924  7429  9583  9427  1312 10177  6616
  2555  2108  7941  3900 10470  2519  3694   205  3718  9079  1357  4587
  2116  6095  5976  5632]
